1,53,56,49,39,32,20,8,99,82,151,59,133,45
,54,57,50,40,33,21,9,100,83,152,60,134,46
,,,,,,,,,,,,,
field_interest,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Construction,1,2,38,0,2,9,4,3,9,3,0,0,2
Finance,0,1,3,0,6,0,2,24,1,3,1,0,3
Manufacturing ,8,38,3,1,5,1,0,30,42,41,11,0,6
Research ,35,15,3,5,8,10,2,7,25,34,45,4,4
Software Development ,9,0,2,33,11,0,0,35,5,70,2,129,30
,,,,,,,,,,,,,
field_interest,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Construction,2,3,39,1,3,10,5,4,10,4,1,1,3
Finance,1,2,4,1,7,1,3,25,2,4,2,1,4
Manufacturing ,9,39,4,2,6,2,1,31,43,42,12,1,7
Research ,36,16,4,6,9,11,3,8,26,35,46,5,5
Software Development ,10,1,3,34,12,1,1,36,6,71,3,130,31
,58,61,54,44,37,25,13,104,87,156,64,138,50
,,,,,,,,,,,,,
field_interest,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Construction,0.034482759,0.049180328,0.722222222,0.022727273,0.081081081,0.4,0.384615385,0.038461538,0.114942529,0.025641026,0.015625,0.007246377,0.06
Finance,0.017241379,0.032786885,0.074074074,0.022727273,0.189189189,0.04,0.230769231,0.240384615,0.022988506,0.025641026,0.03125,0.007246377,0.08
Manufacturing ,0.155172414,0.639344262,0.074074074,0.045454545,0.162162162,0.08,0.076923077,0.298076923,0.494252874,0.269230769,0.1875,0.007246377,0.14
Research ,0.620689655,0.262295082,0.074074074,0.136363636,0.243243243,0.44,0.230769231,0.076923077,0.298850575,0.224358974,0.71875,0.036231884,0.1
Software Development ,0.172413793,0.016393443,0.055555556,0.772727273,0.324324324,0.04,0.076923077,0.346153846,0.068965517,0.455128205,0.046875,0.942028986,0.62
,,,,,,,,,,,,,
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,,,,,
,,,,,,,,,,,,,
team_responsible,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Penicillin,31,27,2,0,0,3,0,9,1,3,22,3,2
Solar Panels,4,20,1,2,11,12,0,14,17,10,24,4,10
The Automobile,3,4,2,3,2,0,1,19,41,24,2,4,1
The CN Tower,0,2,41,0,1,3,7,6,5,2,1,0,5
The Internet,3,3,2,26,10,2,0,48,6,16,6,100,19
The Robot,12,0,1,8,8,0,0,3,12,96,4,22,8
,,,,,,,,,,,,,
team_responsible,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Penicillin,32,28,3,1,1,4,1,10,2,4,23,4,3
Solar Panels,5,21,2,3,12,13,1,15,18,11,25,5,11
The Automobile,4,5,3,4,3,1,2,20,42,25,3,5,2
The CN Tower,1,3,42,1,2,4,8,7,6,3,2,1,6
The Internet,4,4,3,27,11,3,1,49,7,17,7,101,20
The Robot,13,1,2,9,9,1,1,4,13,97,5,23,9
,59,62,55,45,38,26,14,105,88,157,65,139,51
,,,,,,,,,,,,,
team_responsible,Biomedical Engineering,Chemical Engineering,Civil Engineering,Computer Engineering,Electrical Engineering,Environmental Engineering,Geological Engineering,Management Engineering,Mechanical Engineering,Mechatronics Engineering,Nanotechnology Engineering,Software Engineering,Systems Design Engineering 
Penicillin,0.542372881,0.451612903,0.054545455,0.022222222,0.026315789,0.153846154,0.071428571,0.095238095,0.022727273,0.025477707,0.353846154,0.028776978,0.058823529
Solar Panels,0.084745763,0.338709677,0.036363636,0.066666667,0.315789474,0.5,0.071428571,0.142857143,0.204545455,0.070063694,0.384615385,0.035971223,0.215686275
The Automobile,0.06779661,0.080645161,0.054545455,0.088888889,0.078947368,0.038461538,0.142857143,0.19047619,0.477272727,0.159235669,0.046153846,0.035971223,0.039215686
