program,year,happy,professor,work_setting,work_outfit,analyze,gather_information,prefer,goals,develop,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with,leader,gender
Biomedical Engineering,2,Yes,"Warren Buffett, Billionaire American Business Men",In an office,Extremely Casual,Test results,By analyzing the inputs and outputs of the system,Read,A week from now,Physics,Software Development,The Robot,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers,Yes,Female
Biomedical Engineering,1,Yes,"Elon Musk, Founder of Tesla",In an office,Extremely Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Read,A week from now,Math,Software Development,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,Computers,No,Male
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Test results,By analyzing the design and implementation of the system,Read,One year from now,Technology,Construction,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Female
Biomedical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,Five years from now,Life Science,Research,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery,Yes,Female
Biomedical Engineering,2,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Write,One year from now,Technology,Software Development,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,I choose not to specify
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In the outdoors,Business Casual,Graphs and charts,By talking to the people who use the system,Talk,One year from now,Technology,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People,No,Female
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Blue prints and design drawings,By analyzing the design and implementation of the system,Listen,Five years from now,Technology,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Female
Biomedical Engineering,3,Yes,"Elon Musk, Founder of Tesla",In the outdoors,Business Casual,Blue prints and design drawings,By analyzing the inputs and outputs of the system,Talk,One year from now,Physics,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People,Yes,Male
Biomedical Engineering,2,Yes,"Elon Musk, Founder of Tesla",In a laboratory,Extremely Casual,Test results,By analyzing the design and implementation of the system,Read,Five years from now,Technology,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People,Yes,Male
Biomedical Engineering,1,Yes,"Madam Marie Curie, Noble Price Winner for work on radioactivity",In a laboratory,Business Casual,Test results,By analyzing the inputs and outputs of the system,Talk,One year from now,Life Science,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Machinery,No,Female
