program,field_interest,team_responsible,start_work,design_something,work_partof,on_project,care_most,eavesdrop,working_with
Biomedical Engineering,Software Development,The Robot,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Know all the requirements for the project at the beginning,Health,A microchip that is smaller than usual but twice as powerful as before,Computers
Biomedical Engineering,Software Development,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Focused team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,Computers
Biomedical Engineering,Construction,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Solar Panels,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,"A groundbreaking metal that will create stronger cars, planes and spaceships for a cheaper cost",Machinery
Biomedical Engineering,Software Development,The Robot,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,People
Biomedical Engineering,Research,Penicillin,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Research,Penicillin,Work for a small company,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Research,Penicillin,Work for a small company,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Research,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Know all the requirements for the project at the beginning,Health,A factory that is able to 100% rely on robotics while producing no defected products,Machinery
Biomedical Engineering,Research,Penicillin,Work for a large corporation,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Know all the requirements for the project at the beginning,Health,A new way to deal with movement in the Earth surface to protect buildings from earthquakes,Computers
Biomedical Engineering,Research,The Internet,Work in a start up,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,Computers
Biomedical Engineering,Manufacturing,The Robot,Work for a small company,I can see function and tangibly touch the parts,Focused team,Continuously change and update requirements as you go,Human Rights,A factory that is able to 100% rely on robotics while producing no defected products,People
Biomedical Engineering,Research,Penicillin,Work in a start up,"I can see it function and prove it works, but can't necessary touch",Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Manufacturing,Solar Panels,Work in a start up,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
Biomedical Engineering,Manufacturing,The Robot,Work for a large corporation,I can see function and tangibly touch the parts,Multidisciplinary team,Continuously change and update requirements as you go,Health,A microchip that is smaller than usual but twice as powerful as before,People
